user_id,date,platform,preferred_language,daily_coding_time_minutes,problems_solved,difficulty_level,goal,streak_days
U0001,2024-11-23,LeetCode,Python,150,7,Beginner,Competitive Programming,94
U0002,2024-02-22,LeetCode,Go,226,1,Beginner,Job Preparation,27
U0003,2024-04-29,LeetCode,Go,111,13,Beginner,Interview Prep,75
U0004,2024-05-22,LeetCode,C++,226,10,Intermediate,Competitive Programming,27
U0005,2024-06-21,LeetCode,Python,204,3,Intermediate,Skill Improvement,77
U0006,2024-05-15,LeetCode,JavaScript,284,3,Intermediate,Job Preparation,70
U0007,2024-05-30,HackerRank,Go,108,2,Beginner,Competitive Programming,98
U0008,2024-05-28,LeetCode,C++,61,12,Intermediate,Interview Prep,81
U0009,2024-07-05,Codeforces,Java,191,6,Advanced,Skill Improvement,89
U0010,2024-12-15,LeetCode,Go,97,7,Beginner,Interview Prep,48
U0011,2024-05-18,Codeforces,Java,38,7,Beginner,Skill Improvement,51
U0012,2024-05-17,LeetCode,C++,300,10,Beginner,Interview Prep,50
U0013,2024-11-25,Kaggle,C++,145,4,Beginner,Skill Improvement,95
U0014,2024-10-26,Kaggle,Go,214,11,Beginner,Competitive Programming,65
U0015,2024-09-09,LeetCode,Python,66,4,Advanced,Competitive Programming,101
U0016,2024-12-14,Kaggle,Go,42,12,Intermediate,Interview Prep,67
U0017,2024-05-08,LeetCode,Python,284,8,Advanced,Skill Improvement,14
U0018,2024-05-30,Kaggle,C++,242,0,Advanced,Skill Improvement,64
U0019,2024-04-01,LeetCode,Java,269,6,Beginner,Skill Improvement,97
U0020,2024-03-23,LeetCode,Go,175,15,Beginner,Job Preparation,118
U0021,2024-07-04,HackerRank,C++,39,7,Advanced,Job Preparation,10
U0022,2024-09-05,LeetCode,Go,74,4,Advanced,Interview Prep,70
U0023,2024-03-25,HackerRank,Go,226,6,Advanced,Competitive Programming,91
U0024,2024-06-08,Kaggle,Java,234,14,Beginner,Competitive Programming,28
U0025,2024-02-02,HackerRank,Python,293,7,Advanced,Competitive Programming,0
U0026,2024-02-06,LeetCode,C++,44,1,Intermediate,Job Preparation,65
U0027,2024-05-01,HackerRank,JavaScript,119,4,Advanced,Interview Prep,31
U0028,2024-08-30,Kaggle,C++,58,3,Advanced,Interview Prep,45
U0029,2024-08-04,Kaggle,JavaScript,37,3,Beginner,Interview Prep,93
U0030,2024-06-22,LeetCode,C++,108,6,Advanced,Interview Prep,17
U0031,2024-08-04,Codeforces,Java,246,7,Beginner,Interview Prep,103
U0032,2024-10-08,LeetCode,Python,286,0,Beginner,Competitive Programming,21
U0033,2024-07-27,Kaggle,JavaScript,119,12,Beginner,Competitive Programming,48
U0034,2024-01-02,Kaggle,Java,242,9,Intermediate,Interview Prep,19
U0035,2024-04-07,HackerRank,C++,39,1,Advanced,Skill Improvement,7
U0036,2024-01-26,Kaggle,Go,281,5,Beginner,Job Preparation,108
U0037,2024-04-05,LeetCode,Go,44,7,Intermediate,Job Preparation,120
U0038,2024-10-18,Codeforces,Go,30,2,Intermediate,Skill Improvement,119
U0039,2024-05-13,Codeforces,Java,132,8,Intermediate,Competitive Programming,85
U0040,2024-11-26,HackerRank,JavaScript,171,2,Beginner,Interview Prep,79
U0041,2024-10-15,LeetCode,Python,285,6,Advanced,Skill Improvement,16
U0042,2024-06-27,LeetCode,C++,199,9,Beginner,Interview Prep,106
U0043,2024-10-05,HackerRank,Go,280,0,Advanced,Skill Improvement,119
U0044,2024-12-05,LeetCode,C++,145,3,Beginner,Competitive Programming,34
U0045,2024-05-24,Codeforces,Java,114,8,Advanced,Interview Prep,32
U0046,2024-01-27,LeetCode,JavaScript,151,1,Beginner,Skill Improvement,98
U0047,2024-03-07,HackerRank,C++,236,13,Advanced,Job Preparation,14
U0048,2024-02-08,Codeforces,Go,28,11,Advanced,Competitive Programming,55
U0049,2024-03-06,LeetCode,Java,196,1,Intermediate,Competitive Programming,87
U0050,2024-05-07,LeetCode,Java,296,13,Advanced,Competitive Programming,118
U0051,2024-05-01,Codeforces,C++,221,0,Beginner,Skill Improvement,100
U0052,2024-07-29,Codeforces,Java,91,3,Intermediate,Job Preparation,109
