round1_accuracy,round2_accuracy,round3_accuracy,coding_accuracy,avg_response_time,hint_usage_rate,attempt_count,streak_day,skip_attempts,topics_studied_count,conceptual_error_rate,application_error_rate,reasoning_error_rate,label
1.0,0.7417798,0.8896487,0.7136935,0.10591274,0.0,0.08125882,0.07362581,0.0,0.88206977,0.10710652,0.15318795,0.20377809,Placement-Ready
0.93542415,0.8393391,0.8883472,1.0,0.24330944,0.08567306,0.092482746,0.13225009,0.0,0.80412495,0.022904504,0.09585672,0.39936715,Placement-Ready
0.4120552,0.35087252,0.09350474,0.3574046,0.7192075,0.74201894,0.9224441,0.059187945,0.54629385,0.10080071,0.42722768,0.542127,0.77466434,Beginner
0.76365983,0.6774747,0.5441791,0.7344159,0.36837235,0.3364545,0.059442665,0.07246387,0.28846115,0.8545826,0.25133607,0.46328673,0.6819757,Intermediate
0.868379,0.7959083,0.88436824,0.95213556,0.26787636,0.0780297,0.100945175,0.12909833,0.005847244,0.96583426,0.17803222,0.06835184,0.116056904,Placement-Ready
0.28181612,0.29966256,0.20638523,0.19561264,0.8961248,0.8632958,0.6176814,0.023102988,0.37166217,0.16421278,0.6424767,0.3700195,0.79007834,Beginner
0.7021973,0.3714205,0.4497374,0.6826227,0.44472665,0.29077697,0.25407982,0.025753653,0.2996485,0.85413456,0.5214962,0.4578933,0.62402165,Intermediate
0.98205155,0.7460293,0.7220306,0.86447066,0.20156395,0.14620985,0.09667883,0.13628714,0.065170236,0.89373416,0.0,0.13748996,0.24484733,Placement-Ready
0.34091133,0.31133345,0.20058171,0.26472747,0.9847088,0.7013177,0.36745793,0.009630325,0.50711966,0.31126353,0.9256679,0.66612875,0.64655167,Beginner
0.44868624,0.21394302,0.106645085,0.049798615,0.759251,0.56752133,0.13472769,0.008012694,0.50188583,0.1681908,0.6556653,0.92439944,0.86208045,Beginner
0.29782254,0.2905731,0.2529885,0.4391407,0.51292294,0.64384586,0.17463331,0.01121881,0.6543367,0.32643598,0.7680952,0.8066038,0.87006044,Beginner
0.34673563,0.34846908,0.18751271,0.059357423,0.5105712,0.7476625,0.51055646,0.06837986,0.621307,0.17328413,0.67505795,0.6870214,0.9578113,Beginner
0.24492955,0.28885093,0.33534443,0.20661072,0.7159588,0.6964445,0.97068214,0.014626317,0.60381633,0.13414909,0.8308225,0.74895495,0.6712186,Beginner
0.53008497,0.47608313,0.20995395,0.016786821,0.6857267,0.57713187,0.463652,0.007299846,0.5485222,0.15499975,0.7353772,0.738109,0.71042764,Beginner
0.9400712,0.8069513,0.76262003,0.9149948,0.28565252,0.11227906,0.07833711,0.059548195,0.0,0.9645071,0.07079301,0.24205627,0.18704481,Placement-Ready
0.83427954,0.49685004,0.649915,0.5206143,0.27156305,0.6240677,0.36073115,0.053957094,0.3050907,0.5144786,0.32335544,0.3311586,0.53819215,Intermediate
0.60015893,0.48533913,0.305907,0.41999063,0.4671797,0.0,0.13318661,0.080296546,0.26674223,0.47962672,0.28452963,0.35590225,0.76427895,Intermediate
1.0,1.0,0.7175681,0.9480869,0.17797755,0.17622617,0.08340583,0.05726282,0.0,0.7837631,0.08123124,0.1658933,0.09851663,Placement-Ready
0.723046,0.68729705,0.41220322,0.50237966,0.33708003,0.1640442,0.16460797,0.09231931,0.18119946,0.29181197,0.33839133,0.43344527,0.570661,Intermediate
0.81289566,0.5610663,0.54810643,0.60943323,0.2878032,0.33711916,0.26615134,0.03984392,0.6661386,0.34018767,0.44153094,0.578469,0.59792066,Intermediate
0.68110687,0.64834785,0.38028008,0.5247743,0.35755157,0.37444443,0.16395037,0.049069304,0.30623442,0.48576456,0.35034606,0.20953256,0.40723178,Intermediate
0.7318127,0.59709436,0.57104474,0.7614839,0.2841431,0.49901786,0.21422131,0.034550518,0.16229875,0.36515328,0.3598928,0.4158343,0.7071356,Intermediate
0.90462947,0.9707007,0.74172586,0.8769999,0.25392956,0.08255746,0.102154255,0.25470936,0.051479273,0.98396635,0.11089053,0.21859571,0.29050127,Placement-Ready
